SEMANA;PLANTA;GRUPO_VARIEDAD;ID_CALIBRE;KILOS_ESTIMADOS
202352;GF MALLOA;LA;LXJSPYZWAB;191749,5455
202352;GF MALLOA;LA;LXJSPZWAB;138742,8726
202352;GF MALLOA;LA;LXJSPWABC;31645,42826
202352;GF MALLOA;LA;LXJSPYABC;60074,22931
202352;GF MALLOA;LA;LXJSPZABC;145535,9778
202352;GF MALLOA;LA;LXJSPYWABC;91719,65757
202352;GF MALLOA;LA;LXJSPYZABC;205610,2071
202352;GF MALLOA;LA;LXJSPYZWABC;217316,1516
202352;GF MALLOA;LA;LXJSPZWABC;157241,9222
202352;GF MALLOA;LA;LXJSPWABCD;35368,41982
202352;GF MALLOA;LA;LXJSPYABCD;67141,7857
202352;GF MALLOA;LA;LXJSPZABCD;162657,8575
202352;GF MALLOA;LA;LXJSPYWABCD;102510,2055
202352;GF MALLOA;LA;LXJSPYZABCD;229799,6432
202352;GF MALLOA;LA;LXJSPYZWABCD;242882,7576
202352;GF MALLOA;LA;LXJSPZWABCD;175740,9719
202352;GF MALLOA;LA;LXJSPWABCDE;37229,9156
202352;GF MALLOA;LA;LXJSPYABCDE;70675,56389
202352;GF MALLOA;LA;LXJSPZABCDE;171218,7974
202352;GF MALLOA;LA;LXJSPYWABCDE;107905,4795
202352;GF MALLOA;LA;LXJSPYZABCDE;241894,3613
202352;GF MALLOA;LA;LXJSPYZWABCDE;255666,0607
202352;GF MALLOA;LA;LXJSPZWABCDE;184990,4968
202352;GF MALLOA;LA;LXJSPWBB;5584,48734
202352;GF MALLOA;LA;LXJSPYBB;10601,33458
202352;GF MALLOA;LA;LXJSPZBB;25682,81961
202352;GF MALLOA;LA;LXJSPYWBB;16185,82192
202352;GF MALLOA;LA;LXJSPYZBB;36284,1542
202352;GF MALLOA;LA;LXJSPYZWBB;38349,9091
202352;GF MALLOA;LA;LXJSPZWBB;27748,57451
202352;GF MALLOA;LA;LXJSPWBC;9307,478899
202352;GF MALLOA;LA;LXJSPYBC;17668,89097
202352;GF MALLOA;LA;LXJSPZBC;42804,69935
202352;GF MALLOA;LA;LXJSPYWBC;26976,36987
202352;GF MALLOA;LA;LXJSPYZBC;60473,59033
